,word,origin_type,source_language,original_word
565,paper,earlier,Greek,pápūros
566,pan,earlier,Greek,patánē
567,pain,earlier,Greek,poinē
568,orphan,earlier,Greek,orphanós
569,olive,earlier,Greek,elaiá
570,ocean,earlier,Greek,okeanos
571,music,earlier,Greek,mousikē
572,motorcycle,immediate,Greek,kúklos
573,match,earlier,Greek,múxā
574,machine,earlier,Greek,mēkhanḗ
575,lion,earlier,Greek,leōn
576,lamp,earlier,Greek,"lampá-s, -dos"
577,jealous,earlier,Greek,zēlos
578,idol,earlier,Greek,eidōlon
579,idea,earlier,Greek,idéā
580,hour,earlier,Greek,hōra
581,"govern, government",earlier,Greek,kubernān
582,elephant,earlier,Greek,"elépha-s, -ntos"
583,electricity,earlier,Greek,ēlektron
584,earlobe,earlier,Greek,lobos
585,dish,earlier,Greek,dískos
586,devil,earlier,Greek,diábolos
587,demon,earlier,Greek,daímōn
588,crocodile,earlier,Greek,krokódeilos
589,copper,earlier,Greek,kyprion
590,cone,earlier,Greek,kōnos
591,citrus,earlier,Greek,kítron
592,church,immediate,Greek,kuriakon
593,chest,earlier,Greek,kistē
594,chameleon,earlier,Greek,khamailéōn
595,chair,earlier,Greek,kathédra
596,calm,earlier,Greek,kaúma
597,butter,earlier,Greek,boútūron
598,bomb,earlier,Greek,bómbos
599,blame,earlier,Greek,blasphēmein
600,"bicycle, bike",immediate,Greek,kúklos
601,artery,earlier,Greek,artēria
602,anchor,earlier,Greek,ánkūra
603,air,earlier,Greek,aēr
604,wages,earlier,Germanic,wadjam
605,trade,immediate,Middle Low German,trade
606,towel,earlier,Germanic,thwaxljō
607,swamp,immediate,Middle Low German,swampen
608,supper,earlier,Germanic,supian
609,stallion,earlier,Germanic,stallo
610,split,immediate,Middle Low German,splitten
611,soup,earlier,Germanic,supian
612,smile,immediate,Middle Low German,smīlen
613,sling,immediate,Middle Low German,slinge
614,sledge,immediate,Middle Low German,slede
615,shrimp,immediate,Middle High German,schrimpen
616,shore,immediate,Middle Low German,schôre
617,shop,earlier,Middle Low German,schoppen
618,shelf,immediate,Middle Low German,schelf
619,scale,earlier,Germanic,skaljā
620,rub,immediate,Middle Low German,rubben
621,roast,earlier,West Germanic,raustjan
622,reef,immediate,Middle Low German,riffe
623,pitchfork,earlier,Germanic,pikka
624,pill,immediate,Middle Low German,pille
625,mumble,immediate,Middle Low German,mummelen
626,lazy,immediate,Middle Low German,lasich
627,hut,earlier,Proto-Germanic,hudjā
628,heron,earlier,Proto-Germanic,xaigaran
629,headband,earlier,Germanic,bindōn
630,grape,earlier,Germanic,krappōn
631,garden,earlier,Proto-Germanic,gardan-
632,dance,earlier,Germanic,dansōn
633,brick,earlier,Middle Low German,bricke
634,brackish,immediate,Middle Low German,brak
635,booty,earlier,German,Beute
636,blue,earlier,Germanic,blǽwaz
637,blanket,earlier,Germanic,blank
638,bat,immediate,Middle North Germanic,bakka
639,bank,earlier,Germanic,bank-
640,war,immediate,French (Anglo-Norman),guerre
641,wages,immediate,French (Anglo-Norman),wage
642,vulture,immediate,Old French,vultur
643,voice,immediate,French (Anglo-Norman),voiz
644,vine,immediate,French,vigne
645,village,immediate,French,village
646,victory,immediate,Old French,victorie
647,vein,immediate,French,veine
648,veil,immediate,French (Anglo-Norman),veile
649,vegetables,immediate,French,végétable
650,valley,immediate,French,vallée
651,uncle,immediate,French,oncle
652,turtle,immediate,French,tortue
653,turn around,immediate,French,rond
654,try,immediate,French,trier
655,trumpet,immediate,French,trompette
656,tree trunk,immediate,French,tronc
657,train,immediate,French,train
658,towel,immediate,French (Anglo-Norman),toaile
659,touch,immediate,French,toucher
660,torch,immediate,French,torche
661,toilet,immediate,French,toilette
662,tent,immediate,French,tente
663,temple(s),immediate,Middle French,temple
664,tax,immediate,French (Anglo-Norman),taxe
665,taste,immediate,Old French,taster
